Time (UTC),(cms)
06-15-2002,145
06-16-2002,103.18
06-17-2002,94.55
06-18-2002,88.377
06-19-2002,95.371
06-20-2002,112.137
06-21-2002,107.229
06-22-2002,89.54
06-23-2002,99.465
06-24-2002,127.134
06-25-2002,121.692
06-26-2002,110.997
06-27-2002,115.085
06-28-2002,107.461
06-29-2002,94.495
06-30-2002,199.29
07-01-2002,334.62
07-02-2002,200.305
07-03-2002,243.047
07-04-2002,279.843
07-05-2002,336.395
07-06-2002,264.546
07-07-2002,225.204
07-08-2002,205.721
07-09-2002,228.077
07-10-2002,275.338
07-11-2002,255.919
07-12-2002,305.751
07-13-2002,244.421
07-14-2002,238.044
07-15-2002,244.078
07-16-2002,209.57
07-17-2002,189.881
07-18-2002,207.377
07-19-2002,181.961
07-20-2002,227.08
07-21-2002,300.101
07-22-2002,419.599
07-23-2002,381.057
07-24-2002,397.359
07-25-2002,307.4
07-26-2002,253.118
07-27-2002,281.832
07-28-2002,261.28
07-29-2002,242.309
07-30-2002,256.781
07-31-2002,252.203
08-01-2002,236.942
08-02-2002,275.458
08-03-2002,313.162
08-04-2002,272.852
08-05-2002,226.55
08-06-2002,233.034
08-07-2002,196.64
08-08-2002,186.891
08-09-2002,169.64
08-10-2002,204.38
08-11-2002,229.333
08-12-2002,274.979
08-13-2002,303.814
08-14-2002,269.838
08-15-2002,232.393
08-16-2002,214.479
08-17-2002,188.07
08-18-2002,221.41
08-19-2002,232.479
08-20-2002,534.513
08-21-2002,598.019
08-22-2002,497.522
08-23-2002,408.811
08-24-2002,369.445
08-25-2002,297.23
08-26-2002,265.03
08-27-2002,248.453
08-28-2002,214.055
08-29-2002,202.785
08-30-2002,184.251
08-31-2002,187.779
09-01-2002,176.428
09-02-2002,179.805
09-03-2002,164.052
09-04-2002,202.599
09-05-2002,233.243
09-06-2002,213.185
09-07-2002,194.491
09-08-2002,184.474
09-09-2002,164.734
09-10-2002,144.56
09-11-2002,140.54
09-12-2002,137.831
09-13-2002,121.834
09-14-2002,133.29
09-15-2002,147.343
09-16-2002,132.758
09-17-2002,121.985
09-18-2002,120.068
09-19-2002,109.491
09-20-2002,104.236
09-21-2002,101.323
09-22-2002,102.513
09-23-2002,103.159
09-24-2002,121.483
09-25-2002,226.082
09-26-2002,243.51
09-27-2002,170.807
09-28-2002,151.139
09-29-2002,142.852
09-30-2002,124.435
10-01-2002,113.954
10-02-2002,107.21
10-03-2002,102.298
10-04-2002,95.746
10-05-2002,93.05
10-06-2002,93.931
10-07-2002,92.528
10-08-2002,92.404
10-09-2002,101.1
10-10-2002,99.875
10-11-2002,90.903
10-12-2002,87.7
10-13-2002,84.83
10-14-2002,80.475
10-15-2002,80.083
10-16-2002,77.649
10-17-2002,76.903
10-18-2002,83.308
10-19-2002,83.754
10-20-2002,77.1
10-21-2002,73.673
10-22-2002,71.169
10-23-2002,69.348
10-24-2002,68.619
10-25-2002,66.469
10-26-2002,63.211
10-27-2002,61.812
10-28-2002,62.292
10-29-2002,60.078
10-30-2002,59.271
10-31-2002,58.898
11-01-2002,58.076
11-02-2002,56.8
11-03-2002,54.825
11-04-2002,53.795
11-05-2002,53.06
11-06-2002,52.605
11-07-2002,51.735
11-08-2002,50.73
11-09-2002,48.886
11-10-2002,47.611
11-11-2002,47.247
11-12-2002,46.74
11-13-2002,47.69
11-14-2002,46.424
11-15-2002,45.249
11-16-2002,44.437
11-17-2002,43.792
11-18-2002,43.534
11-19-2002,43.346
11-20-2002,43.306
11-21-2002,42
11-22-2002,42.204
11-23-2002,41.689
11-24-2002,41.512
11-25-2002,41.406
11-26-2002,41.267
11-27-2002,40.864
11-28-2002,40.24
11-29-2002,39.715
11-30-2002,39.573
12-01-2002,39.256
12-02-2002,38.269
12-03-2002,37.528
12-04-2002,37.647
12-05-2002,36.472
12-06-2002,35.828
12-07-2002,35.25
12-08-2002,35.121
12-09-2002,34.521
12-10-2002,34.768
12-11-2002,33.71
12-12-2002,33.099
12-13-2002,32.982
12-14-2002,33.24
12-15-2002,33.47
12-16-2002,32.971
12-17-2002,33.335
12-18-2002,32.405
12-19-2002,32.501
12-20-2002,31.889
12-21-2002,30.996
12-22-2002,30.97
12-23-2002,30.115
12-24-2002,29.598
12-25-2002,30.105
12-26-2002,29.562
12-27-2002,29.927
12-28-2002,29.844
12-29-2002,29.374
12-30-2002,28.61
12-31-2002,28.106
